Date,Open,High,Low,Close,Volume,t_point
04-01-2021 01:00,32822.0625,33201,32822.0625,33201,19212,0
04-01-2021 02:00,33202,33472,33108,33472,19064,0
04-01-2021 03:00,33457,33512,33457,33512,19010,0
04-01-2021 04:00,33514,33514,33282.48828,33282.48828,19216,0
04-01-2021 05:00,33296,33296,32846,32846,18331,0
04-01-2021 06:00,32827,33203,32827,33203,18294,0
04-01-2021 07:00,33219,33219,32106,32106,18667,0
04-01-2021 08:00,32134.96289,32134.96289,32000,32111,17751,0
04-01-2021 09:00,32078,32078,31065.08008,31065.08008,19004,0
04-01-2021 10:00,31102,31102,29178,30250,25970,1
04-01-2021 11:00,30285,30764.28516,30285,30764.28516,26721,0
04-01-2021 12:00,30761.01953,31237,30592,31237,27448,0
04-01-2021 13:00,31231,31350,31177,31350,27486,0
04-01-2021 14:00,31453,32086,31453,32086,27994,0
04-01-2021 15:00,32127,32127,31746,31746,27380,0
04-01-2021 16:00,31719,31719,31082,31293.39844,27339,0
04-01-2021 17:00,31262,31262,30980,30980,26699,0
04-01-2021 18:00,30989,31131,30989,31131,25942,0
04-01-2021 19:00,31150,31633,31150,31633,26029,0
04-01-2021 20:00,31622.94531,31622.94531,31175,31175,25094,0
04-01-2021 21:00,31227,31227,31000,31000,25397,0
04-01-2021 22:00,30982,31333,30982,31333,24952,0
04-01-2021 23:00,31302.98047,32020,31302.98047,32020,24683,0
05-01-2021 00:00,32020,32627,32020,32386,25276,0
05-01-2021 01:00,32399,32766,32399,32766,24874,0
05-01-2021 02:00,32774,32774,32305,32305,24758,0
05-01-2021 03:00,32311,32311,31219.41992,31219.41992,25104,0
05-01-2021 04:00,31175,31175,30882,30882,25201,0
05-01-2021 05:00,30854,30979.07031,30405,30405,25263,1
05-01-2021 06:00,30400,31206,30400,31152,25357,0
05-01-2021 07:00,31117.24023,31117.24023,30805,30805,23957,0
05-01-2021 08:00,30787,31170,30787,31170,23525,0
05-01-2021 09:00,31200,31581,31200,31581,21548,0
05-01-2021 10:00,31595,31595,31318,31341,13840,0
05-01-2021 11:00,31320,31781,31320,31781,12458,0
05-01-2021 12:00,31798,31980,31610,31610,11681,0
05-01-2021 13:00,31617,31674,31476,31476,11319,0
05-01-2021 14:00,31524,32411.88672,31524,32411.88672,10883,0
05-01-2021 15:00,32353,32353,32116,32143,10506,0
05-01-2021 16:00,32144,32548,32144,32548,9874,0
05-01-2021 17:00,32625,32779,32625,32779,9746,0
05-01-2021 18:00,32794,33509,32794,33509,11347,0
05-01-2021 19:00,33465,33833,33465,33833,12913,0
05-01-2021 20:00,33853,34065,33545,34065,13325,0
05-01-2021 21:00,34097,34097,33656,33779,13289,0
05-01-2021 22:00,33777,34284,33777,34284,14107,0
05-01-2021 23:00,34278,34278,33767.60547,33996,14482,0
06-01-2021 00:00,33986,33992,33961.42969,33961.42969,13811,0
06-01-2021 01:00,33943,33943,33820,33820,13865,0
06-01-2021 02:00,33823,33901,33823,33888,13948,0
06-01-2021 03:00,33888,34168.85938,33888,34168.85938,13588,0
06-01-2021 04:00,34154,35390,34154,35390,14770,0
06-01-2021 05:00,35418,35418,34888,34888,15373,0
06-01-2021 06:00,34928,34936,34928,34936,15889,0
06-01-2021 07:00,34942,34942,34588,34588,16940,0
06-01-2021 08:00,34587,34587,34414,34568,17595,0
06-01-2021 09:00,34555,34555,33874,33874,17903,1
06-01-2021 10:00,33905,34489,33905,34489,18513,0
06-01-2021 11:00,34489,35026,34489,35026,19233,0
06-01-2021 12:00,35025,35025,34982,34982,19350,0
06-01-2021 13:00,34989,34989,34609,34609,19544,0
06-01-2021 14:00,34609,34609,34306,34306,19253,0
06-01-2021 15:00,34259.42969,34615,34259.42969,34615,19393,0
06-01-2021 16:00,34632,35005,34632,34653.50781,19983,0
06-01-2021 17:00,34665,34944,34665,34944,19950,0
06-01-2021 18:00,34954,35276,34954,35253,18569,0
06-01-2021 19:00,35253.54688,35609,34861.17969,34861.17969,17553,0
06-01-2021 20:00,34843,36013,34843,36013,18665,0
06-01-2021 21:00,36045,36128,35866,35866,19270,0
06-01-2021 22:00,35900,36217,35900,36019,18551,0
06-01-2021 23:00,36019,36755,36019,36755,18617,0
07-01-2021 00:00,36755,37174,36755,37174,19196,0
07-01-2021 01:00,37158,37158,36878,36878,19329,0
07-01-2021 02:00,36905,36994,36905,36994,19318,0
07-01-2021 03:00,36986,37560,36986,37478,19583,0
07-01-2021 04:00,37492,37492,37472,37472,18044,0
07-01-2021 05:00,37460,37460,37257.19531,37365,17077,0
07-01-2021 06:00,37365,37365,37034,37139,16036,0
07-01-2021 07:00,37140,37140,36826.5625,36826.5625,15153,1
07-01-2021 08:00,36854.85547,37201,36819,37201,14865,0
07-01-2021 09:00,37159.91406,37472,37159.91406,37472,14466,0
07-01-2021 10:00,37480,37480,36997,36997,13872,0
07-01-2021 11:00,37013,37809,37013,37809,13312,0
07-01-2021 12:00,37832,38026,37832,38011,13551,0
07-01-2021 13:00,37986,38200.27344,37986,38200.27344,14052,0
07-01-2021 14:00,38176,38493,38176,38451.60547,14174,0
07-01-2021 15:00,38452,38946,38452,38946,14315,0
07-01-2021 16:00,38968.02344,39351,38968.02344,39131,14344,0
07-01-2021 17:00,39130,39764,39130,39764,14650,0
07-01-2021 18:00,39741,39741,38765,38765,19787,0
07-01-2021 19:00,38820,39046,38347,39046,22328,0
07-01-2021 20:00,39025,39087,38963,39087,21425,0
07-01-2021 21:00,39070,39654,39070,39654,20944,0
07-01-2021 22:00,39657,39672,39655,39655,21533,0
07-01-2021 23:00,39665,39665,39357,39407,22112,0
08-01-2021 00:00,39407,39407,38736,38736,21705,0
08-01-2021 01:00,38719,38719,38507,38664,22487,0
08-01-2021 02:00,38641.84766,38641.84766,37151,37151,24097,1
08-01-2021 03:00,37171.50781,38304,37171.50781,38304,24074,0
08-01-2021 04:00,38292,38645,38292,38645,24240,0
08-01-2021 05:00,38639,38639,37871,37871,24551,0
08-01-2021 06:00,37864,38463.75391,37780,38463.75391,24930,0
08-01-2021 07:00,38460,39033,38460,38905,24873,0
08-01-2021 08:00,38901.90625,38901.90625,38617,38617,24551,0
08-01-2021 09:00,38628,39341,38575,39341,24686,0
08-01-2021 10:00,39358,40802,39358,40802,26812,0
08-01-2021 11:00,40738,41332,40738,41332,28196,0
08-01-2021 12:00,41343,41616,41269,41269,28481,0
08-01-2021 13:00,41295,41333,41295,41333,28076,0
08-01-2021 14:00,41309,41546,41309,41449,28252,0
08-01-2021 15:00,41492,41492,40315,40818,30032,0
08-01-2021 16:00,40787,41375,40787,41375,29884,0
08-01-2021 17:00,41349,41375,41024.70313,41024.70313,29657,0
08-01-2021 18:00,41033,41033,39805,39805,25045,0
08-01-2021 19:00,39832.77734,40360,39832.77734,40360,22222,0
08-01-2021 20:00,40306,40306,39015,39015,23227,1
08-01-2021 21:00,38978,39958,38978,39958,23219,0
08-01-2021 22:00,40003,40642,40003,40642,22765,0
08-01-2021 23:00,40622,40836,40509,40509,21785,0
09-01-2021 00:00,40509,40509,40174,40257.10156,21588,0
09-01-2021 01:00,40236,40236,40132,40132,20769,0
09-01-2021 02:00,40135.89453,40135.89453,39894,39894,19180,0
09-01-2021 03:00,39922,40175,39922,40175,18879,0
09-01-2021 04:00,40149,40180,39943,40180,18518,0
09-01-2021 05:00,40181,40181,39253,39253,18419,0
09-01-2021 06:00,39268,39268,38907,38907,18487,1
09-01-2021 07:00,38917,39582,38917,39582,18764,0
09-01-2021 08:00,39581,40152,39581,40152,18962,0
09-01-2021 09:00,40152,40329,40152,40329,18905,0
09-01-2021 10:00,40282,40364,40258.14453,40364,16791,0
09-01-2021 11:00,40373,40547,40373,40547,15795,0
09-01-2021 12:00,40555,40832,40555,40832,15048,0
09-01-2021 13:00,40857,41113,40857,41113,14905,0
09-01-2021 14:00,41107,41107,40836,40836,14567,0
09-01-2021 15:00,40849,40876,40574,40574,12517,0
09-01-2021 16:00,40574,40574,40000,40000,11906,0
09-01-2021 17:00,40038,40449,40038,40449,11792,0
09-01-2021 18:00,40449,40750,40449,40665,10926,0
09-01-2021 19:00,40670,40806,40666,40666,10509,0
09-01-2021 20:00,40670,40670,40650,40650,8991,0
09-01-2021 21:00,40681.12891,40833,40681.12891,40833,8672,0
09-01-2021 22:00,40777.89844,40777.89844,40203,40332,8442,0
09-01-2021 23:00,40330,40330,40171,40171,8173,1
10-01-2021 00:00,40171,40617,40171,40617,7854,0
10-01-2021 01:00,40616,41226,40616,41226,8327,0
10-01-2021 02:00,41226.36328,41226.36328,41031,41031,8311,0
10-01-2021 03:00,41055,41055,40360,40360,8431,0
10-01-2021 04:00,40373,40373,40358,40358,8390,0
10-01-2021 05:00,40356,40442,40356,40442,8104,0
10-01-2021 06:00,40448,40950,40448,40950,7635,0
10-01-2021 07:00,40942,40998,40942,40998,7219,0
10-01-2021 08:00,40992.86719,40992.86719,40725,40806,7160,0
10-01-2021 09:00,40805.03125,40954,40785,40785,7073,0
10-01-2021 10:00,40761,40761,40388,40388,7746,0
10-01-2021 11:00,40399.42188,40399.42188,39125,39125,8574,1
10-01-2021 12:00,39112,39621,39112,39489,9351,0
10-01-2021 13:00,39489,39770,39489,39770,9321,0
10-01-2021 14:00,39769,39769,39332,39332,9160,0
10-01-2021 15:00,39379,39672,39379,39672,9190,0
10-01-2021 16:00,39671.34375,39671.34375,39248,39248,9057,0
10-01-2021 17:00,39249,39249,37912,38567,11148,0
10-01-2021 18:00,38507.03516,38507.03516,38064,38064,11589,0
10-01-2021 19:00,38032,38377,37342,37342,12028,0
10-01-2021 20:00,37453,37724.30469,37436,37724.30469,17039,0
10-01-2021 21:00,37730,38092,37730,38092,18262,0
10-01-2021 22:00,38081,38913,38081,38477,18765,0
10-01-2021 23:00,38459,38459,38226,38226,19011,0
11-01-2021 00:00,38226,38226,37250,37250,19718,0
11-01-2021 01:00,37296,37700,37261,37261,19545,0
11-01-2021 02:00,37250,37250,36415,36415,20089,0
11-01-2021 03:00,36339.91016,36339.91016,35492,35492,24042,0
11-01-2021 04:00,35431,35543,35087,35543,25674,0
11-01-2021 05:00,35572,35572,35022,35022,26463,0
11-01-2021 06:00,34892,34892,33000,33000,30126,1
11-01-2021 07:00,33000,34531.73438,33000,34531.73438,32795,0
11-01-2021 08:00,34540,35506,34540,35506,33428,0
11-01-2021 09:00,35505,35817,35462,35817,34040,0
11-01-2021 10:00,35823,35823,35375,35426,33939,0
11-01-2021 11:00,35409.83594,35409.83594,34255,34255,33194,0
11-01-2021 12:00,34262.88672,34780,34262.88672,34287,33941,0
11-01-2021 13:00,34304.05078,34304.05078,32932.37109,32932.37109,35135,0
11-01-2021 14:00,32976,33343.42578,31993,33343.42578,40895,0
11-01-2021 15:00,33349,33349,31715.1543,31715.1543,42541,1
11-01-2021 16:00,31679,31973.18945,31679,31973.18945,47348,0
11-01-2021 17:00,31905,32925,31905,32925,47733,0
11-01-2021 18:00,32996,32996,32683,32683,48053,0
11-01-2021 19:00,32662,32662,32360,32360,48966,0
11-01-2021 20:00,32308,33499,31842,33499,45582,0
11-01-2021 21:00,33499,34063,33499,34063,46788,0
11-01-2021 22:00,34153,34429,33875,34429,47319,0
11-01-2021 23:00,34521.27344,35476,34521.27344,35476,48040,0
12-01-2021 00:00,35448,35448,34985,34985,48252,0
12-01-2021 01:00,34994.45703,35431,34332.46484,34332.46484,48217,0
12-01-2021 02:00,34387,34468,34378.50781,34468,47879,0
12-01-2021 03:00,34536.07031,35038,34536.07031,35038,43864,0
12-01-2021 04:00,35065,35370.79297,35000,35370.79297,42564,0
12-01-2021 05:00,35381,35949,35381,35949,42423,0
12-01-2021 06:00,35968.625,36038,35968.625,36038,39471,0
12-01-2021 07:00,36026,36454,35802,36454,37379,0
12-01-2021 08:00,36460,36460,35804,35804,37293,0
12-01-2021 09:00,35815,35895,35707,35895,37921,0
12-01-2021 10:00,35905,35905,35056,35169,39101,0
12-01-2021 11:00,35154,35416,35154,35416,38819,0
12-01-2021 12:00,35403,35595,35058.07422,35058.07422,37714,0
12-01-2021 13:00,35031,35031,33381,33381,37656,1
12-01-2021 14:00,33322,33474,33322,33474,33630,0
12-01-2021 15:00,33455.03516,33990,33455.03516,33919,32472,0
12-01-2021 16:00,33911,35012,33911,35012,28146,0
12-01-2021 17:00,35061,35061,35037,35037,26027,0
12-01-2021 18:00,35028.70703,35319,35028.70703,35029,25496,0
12-01-2021 19:00,35026,35026,34742,34742,24916,0
12-01-2021 20:00,34741,34741,34352,34352,24084,0
12-01-2021 21:00,34373,34733,34003,34733,22082,0
12-01-2021 22:00,34776,34776,33749,33749,21631,0
12-01-2021 23:00,33815,34103,33616,34103,22176,0
13-01-2021 00:00,34106,34106,32472,32472,22348,1
13-01-2021 01:00,32445,33174,32445,33174,22526,0
13-01-2021 02:00,33143,33200,33066,33066,22717,0
13-01-2021 03:00,33067,33821,33067,33821,23332,0
